"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"2465","Strada VESPASIAN","54","Sector 1","1939","S+P+4E","0","1994","Mircea PERJESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2466","Strada VICTOR BABES","12","Sector 5","1927;1930","S+P+1E+Ma","0","1993","Armand NEFIAN","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2467","Calea VICTORIEI","16÷20","Sector 3","1890","S+P+2E; S+P+3E+Pod","0","1993","Emilian TITARU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2468","Calea VICTORIEI","26","Sector 3","1822","S+P+1E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2469","Calea VICTORIEI","54","Sector 1","1907","S+P+4E","0","1995","ing. Mihai URSACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2470","Calea VICTORIEI","91÷93","Sector 1","1937","S+P+5E+M","0","1993","DRAGOS BADEA","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2471","Calea VICTORIEI","115","Sector 1","1887","S+P+1E+Ma","0","1996","Anatolie CAZACLIU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2472","Calea VICTORIEI","122","Sector 1","1936","S+P+Mz+4E","0","1996","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2473","Calea VICTORIEI","134","Sector 1","1900","S+P+2E+Ma","25","1993","Eugeniu IORDACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2474","Calea VICTORIEI","135","Sector 1","1940","S+P+9E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2475","Calea VICTORIEI","190","Sector 1","1895","S+P+2E+Ma","0","1996","ing. Mihai URSACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2476","Strada VIESPARILOR","29","Sector 2","1938","S+P+2E","0","1993","Dan STANCIULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2477","Soseaua VIILOR","94","Sector 5","1924","S+P+3E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2478","Soseaua VIILOR","96","Sector 5","1926","S+P+3E","24","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3 ( Radiata din Lista imobilelor incadrate in clasa de risc seismic RsI conform Deciziei Civile nr.17/2010)"
"2479","Strada VIITORULUI","10÷12","Sector 2","1925","S+P+2E","0","1993","Leonid NEAGOE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2480","Strada VIITORULUI","26A","Sector 2","1912","S+P+2E+Ma","0","1994","Ion LUNGU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2481","Strada VIITORULUI","33","Sector 2","1920","S+P+1E+Ma","0","1993","Leonid NEAGOE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2482","Strada VIITORULUI","70","Sector 2","1920","S+P+2E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2483","Strada VIITORULUI","117÷119","Sector 2","1938","S+P+3E","0","1993","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2484","Strada VIITORULUI","157÷159","Sector 2","1938","S+P+2E+Ma","0","1993","Emil COROIU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2485","Strada VISARION","19","Sector 1","1934","S+P+2E","0","1993","Eugeniu IORDACHESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2486","Strada VISARION","25","Sector 1","1910","S+P+1E+Ma","0","1993","Gabriel NICULESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2487","Strada VISINILOR","2A","Sector 2","1935","S+P+2E+Ma","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2488","Strada VISTIERILOR","1","Sector 5","1934; 1935","S+P+2E","0","1993","Radu PETROVICI","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2489","Strada VITEJESCU","9 (corp A+B)","Sector 4","1941","S+P; S+P+2E+Ma","0","1993","Adina SIMION","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1 (corp A); U3 (corp B)"
"2490","Strada VITEJESCU","16","Sector 4","1940","S+P; S+P+1E","0","1993","Adina SIMION","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2. U3"
"2491","Intrarea VLADIMIR STREINU","2","Sector 2","1937","S+P+2E","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2492","Intrarea VLADIMIR STREINU","12","Sector 2","1937","S+P+2E","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2493","Strada VULTURILOR","4 (corp A1+A2+B)","Sector 3","1910","S+P+1E","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2494","Strada VULTURILOR","51","Sector 3","1936","S+P+3E","0","1996","Anatolie CAZACLIU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2495","Strada VULTURILOR","55 (corp A+B)","Sector 3","1890","S+P+1E","0","1993","Adina SIMION","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2496","Strada WASHINGTON","Nr. 5 (corp B)","Sector 1","1933","S + P + 2E+Ms","0","1994","ing. Popescu Dumitru Dan","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"a fost expertizat doar corpul (B) "
"2497","Strada WITING","26","Sector 1","1934","S+P+2E","0","1994","Ion LUNGU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2498","Strada WITING","42","Sector 1","1930","S+P+4E","0","1994","Mircea NEICU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2499","Strada ZAMBILA IONITA","1 (bloc 33B)","Sector 2","1974","S+P+10E","0","1993","STEFAN MIHAILESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2500","Strada ZAMBILA IONITA","3 (bloc 33)","Sector 2","1975","S+P+10E","0","1993","STEFAN MIHAILESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U2"
"2501","Strada ZARII","11","Sector 5","1940","S+P+1E","0","1993","Corneliu NICUT","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2502","Strada ZECE MESE","6A","Sector 2","1935","S+P+2E+Ma","0","1993","Dan POPESCU","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U1"
"2503","Strada ZEFIRULUI","3","Sector 2","1912","S+P","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2504","Strada ZEFIRULUI","11","Sector 2","1928","S+P+2E+Ma","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2505","Strada ZEFIRULUI","19","Sector 2","1928","S+P+1E+Ma","0","1993","Niculaie TUDOSE","INCADRARE IN CATEGORIE DE URGENTA; NEINCADRATE IN CLASE DE RISC SEISMIC CORESPUNZATOARE",,"U3"
"2506","Strada ALEXANDRU BALASANU","9 (corp A+B)","Sector 4","1900","S+P","0","1993","Corneliu NICUT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2507","Bulevardul ALEXANDRU OBREGIA","33 (bloc O3)","Sector 4","1965","S+P+9E","0","1996","Corneliu MUDRACENCO","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2508","Strada ALEXANDRU RADOVICI","10","Sector 2","1928","S+D+P+3E+M","6","1993","DRAGOS BADEA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2509","Strada ALIORULUI","7 (bloc A6)","Sector 4","1967","S+P+10E","0","1993","Mihaela POPESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2510","Soseaua ANDRONACHE","105","Sector 2",,"S+P","0","1997","Horia DUGAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2511","Strada APOLODOR","3","Sector 5","1930","S+P+4E+Ma","11","1994","Iorgu NICULA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2512","Strada ARINII DORNEI","4 (bloc 28)","Sector 6","1973","S+P+11E","0","1995","Nicolae ALEMAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2513","Strada AUREL VLAICU","166","Sector 2","1938","S+P+5E","0","1995","Grigore ARSENIE","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2514","Strada AVALANSEI","13 (corp A+B)","Sector 4","1934","S+P","0","1993","Alexandru BRANZEI","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2515","Strada BABA NOVAC","21 (bloc G11)","Sector 3","1965","S+P+10E","0","1996","Nicolae CONSTANTINESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2516","Strada BALADEI","5 (bloc 73)","Sector 4","1984","S+P+9E","0","1993","Mihaela POPESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2517","Strada BANAT","2bis","Sector 1","1920","S+P+1E+Ma","14","1993","Radu AGENT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2518","Bulevardul BANU MANTA","28","Sector 1","1920","S+P+2E","4","1993","Nicolae ROSCA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2519","Bulevardul BANU MANTA","30 (corp A)","Sector 1","1910","S+P+2E+Ma","5","1993","Nicolae ROSCA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2520","Bulevardul BANU MANTA","30 (corp B)","Sector 1","1936","S+P+2E","5","1993","Nicolae ROSCA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2521","Strada BARBU STEFANESCU DELAVRANCEA","2C (bloc 33C)","Sector 1","1976","S+P+10E","0","1995","Radu AGENT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,
"2522","Strada BARBU VACARESCU","44","Sector 2","1961","S+P+7E+Ma","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2523","Strada CALUSEI","48","Sector 2","1930","S+P+1E+Ma","0","1993","Ioan LUNGU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2524","Bulevardul CAROL I","23 (corp A+B)","Sector 3","1980","S+P+10E","0","1994","Emilian TITARU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2525","Soseaua COLENTINA","1 (bloc 34)","Sector 2","1972","S+P+10E","320","1991","Mihai NAVODARIU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2526","Soseaua COLENTINA","81 (bloc 84)","Sector 2","1982","S+P+1011E","0","1993","Mariana SUCEVEANU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2527","Soseaua COLENTINA","95 (bloc 93)","Sector 2","1977","P+10","0","1993","Mariana SUCEVEANU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2528","Strada COLTEI","6","Sector 3","1920","S+P+1E","0","1993","Alexandru FOTACHE","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2529","Strada COLTEI","24","Sector 3","1890","S+P+1E+Ma","0","1993","Mircea MIRONESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2530","Strada CORBENI","14","Sector 2","1905","S+P","0","1993","Adina SIMION","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2531","Strada CUZA VODA","96","Sector 4","1890","S+P","0","1993","Corneliu NICUT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2532","Bulevardul DACIA","72","Sector 2","1935","S+P+2E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2533","Bulevardul DACIA","68","Sector 2","1936","S+P+3E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2534","Bulevardul DACIA","125 (fost 71)","Sector 2","1931","S+P+2E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2535","Strada DEALUL TUGULEA","2÷12 (bloc 8)","Sector 6",,"S+P+910E","0","1993","Constantin CIOVEIE","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2536","Bulevardul DIMITRIE CANTEMIR","8","Sector 4","1963","S+P+8E","0","1995","Armand NEFIAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2537","Bulevardul DIMITRIE CANTEMIR","25 (bloc 2)","Sector 4","1961","S+P+7E","0","1996","Dan CAPATINA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2538","Strada DIMITRIE GUSTI","3","Sector 1","1920","S+P+1E","0","1993","Mircea PERJESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2539","Aleea DRAGOS MLADINOVICI","2÷4 (bloc R11, sc. 1+2+3+4+)","Sector 4","1965","S+P+9E","164","2022","  Bogdan Gagionea","1.Clasa de risc seismic RsI.	",,"-A mai fost expertizat tehnic în anul 1996 de către expert Armand Nefian, nefiind încadrat într-o categorie de urgență sau clasă de risc seismic."
"2540","Aleea DRAGOS MLADINOVICI","5 (bloc R16)","Sector 4","1965","S+P+9E","80","1996","Nicolae CONSTANTINESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2541","Aleea DRAGOS MLADINOVICI","7 (bloc R17)","Sector 4","1965","S+P+9E","80","1996","Armand NEFIAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2542","Strada DUMBRAVA ROSIE","19","Sector 2","1928","S+P+2E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2543","Intrarea DUMITRESCU PROCOPIE","6","Sector 2","1936","S+P+2E","0","1993","Corneliu NICUT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2544","Strada ELENA CUZA","1 (corp A+B+C)","Sector 4","1920","S+P","0","1993","Alexandru BRANZEI","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2545","Strada ELENA CUZA","16","Sector 4","1890","S+P","0","1993","Alexandru BRANZEI","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2546","Strada EMANOIL IONESCU","21÷23","Sector 1","1906","S+P+1E","0","1993","Nicolae TEMELCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2547","Strada EMANOIL IONESCU","35÷37","Sector 1","1906","S+P+1E","0","1993","Nicolae TEMELCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2548","Strada EPISCOPUL RADU","19","Sector 2","1900","S+P+2E","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2549","Strada FRUMOASA","14 (corp B)","Sector 1","1970","S+P+1E","0","1993","Vasile BOGDAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2550","Strada GABROVENI","14","Sector 3","1880","S+P+1E","0","1993","Vasile BOGDAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2551","Strada GABROVENI","27","Sector 3",,"S+P+2","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2552","Strada GABROVENI","29","Sector 3",,"S+P+2","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2553","Strada GEORGE MURGOCI","1","Sector 4","1901","S+P","0","1993","Valentin SEVCENCO","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2554","Strada GEORGE MURGOCI","5","Sector 4","1900","S+P","0","1993","Valentin SEVCENCO","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2555","Strada GEORGE MURGOCI","7","Sector 4","1900","S+P","0","1993","Valentin SEVCENCO","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2556","Strada GHIRLANDEI","5 (bloc 46)","Sector 6","1965","S+P+4E","60","1993","Ion LUNGU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2557","Strada GHIRLANDEI","9 (bloc 43)","Sector 6","1965","S+P+9E","0","1993","Mircea CONDRUT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2558","Strada GHIRLANDEI","9A (bloc 44)","Sector 6","1965","S+P+9E","0","1993","Mircea CONDRUT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2559","Strada GRIGORE COBALCESCU","34","Sector 1",,"S+P+2","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2560","Strada GRIGORE COBALCESCU","46","Sector 1","1929","S+P+2E+Ma","0","1995","Nicolae TOPA","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2561","Calea GRIVITEI","234","Sector 1","1961","S+P+7E","96","1996","Alexandru HRISTOFOROV","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2562","Strada HAGA","10","Sector 1","1925","S+P+2E","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2563","Strada HARALAMBIE BOTESCU","15","Sector 5","1920","S+P","0","1994","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2564","Strada HORATIU","5","Sector 1","1926","S+P+1E+Ma","0","1993","Radu PETROVICI","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2565","Strada HRISOVULUI","5","Sector 1","1961","S+P+3E","0","1996","Alexandru HRISTOFOROV","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2566","Bulevardul I. C. BRATIANU","22","Sector 3","1833","S+P+1E","0","1993","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2567","Bulevardul I. C. BRATIANU","44bis","Sector 3","1988","S+P+9E","0","1994","Alexandru PROGRESEANU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2568","Strada ICOANEI","8 (corp D)","Sector 2","1890","S+P","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2569","Strada ILICI PIOTR CEAIKOVSKI","7","Sector 2","1959","S+P+3E","0","1995","Marin TEODOR","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2570","Splaiul INDEPENDENTEI","56B","Sector 5","1934","S+P+3E","0","1995","Mihai IONESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2571","Strada IOAN BUDAI DELEANU","7","Sector 4","1935","S+P+1E+Ma","0","1993","Cristian BALAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2572","Bulevardul ION MIHALACHE","40","Sector 1","1976","S+P+10E","42","1995","Radu AGENT","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2573","Intrarea ITALIANA","2","Sector 2","1934","S+P+2E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2574","Bulevardul LACUL TEI","77","Sector 2","1956","S+P+2E","0","1993","Emil COROIU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2575","Strada LATINA","11 (corp A)","Sector 2","1890","S+P+1E+Pod","0","1994","Mariana STEFANESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2576","Strada LIPSCANI","78","Sector 3","1900","S+P+2E","0","1993","Nicolae GOSPODINOV","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2577","Strada LIVIU REBREANU","37 (bloc M24)","Sector 3","1965","S+P+4E","0","1995","Cristian BALAN","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2578","Strada LOGOFATUL LUCA STROICI","5","Sector 2","1956","S+P+2E","0","1993","Dan STANCIULESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2579","Strada LOUIS PASTEUR","43","Sector 5","1927","S+P+1E+Ma","0","1993","Dan STANCIULESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2580","Strada MARIA ROSETTI","61","Sector 2","1918","S+P+1E+Ma","0","1993","Dan DUMITRESCU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2581","Strada MASINA DE PAINE","37 (bloc 2)","Sector 2","1976","S+P+10E","44","1993;1995","Marin TEODOR","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
"2582","Soseaua MIHAI BRAVU","125","Sector 2",,"S+P+9E","0","1995","Mircea NEICU","NEINCADRAT IN CATEGORIA DE URGENTA SAU CLASE de RISC SEISMIC CORESPUNZATOARE",,"-"
