"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"831","Strada SEVASTOPOL","8","Sector 1","1907","S+P+3E+Ma","0","2006","Ion VARSA","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2006; AC nr.92/572299/2006; PVRTL nr.1/2009"
"832","PIATA SFINTII VOIEVOZI","2","Sector 1","1945÷1947","S+P+Mz+5E+Ma","22","1996","Alexandru HRISTOFOROV","3.Clasa de risc seismic RsIII.",,
"833","Strada SILVESTRU","73","Sector 2","1936","S+P+1E","4","2008","Sorin APOLZAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2008"
"834","Strada SPATARU PREDA (TESATORIILE REUNITE S.A.)","5 (corp C7)","Sector 5","1976","P+2E","0","2016","Aurelian PAVELESCU","3.Clasa de risc seismic RsIII.",,
"835","Strada SPERANTEI","46","Sector 2","1930","S+P+1E","2","2015","Dinu CIOBOTARIU","3.Clasa de risc seismic RsIII.",,
"836","Strada SPIRU HARET","7A","Sector 1","1938","S+P+5E","28","1999","Anatolie CAZACLIU","3.Clasa de risc seismic RsIII.",,
"837","Strada STAVROPOLEOS","5","Sector 3","1898; 1900","S+P+2E; S+P+2E+Ma","0","2010","Mircea MIRONESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2010"
"838","Strada STEFAN MIHAILEANU","40","Sector 2","1943","S+P+4E+Ma","10","1997","ing. Mihai URSACHESCU","3.Clasa de risc seismic RsIII.",,
"839","Strada STELIAN MIHALE","3 (bloc 2; tr.I+II)","Sector 3","1974","S tehnic+P+10E","44","2013","Gavril POP","3.Clasa de risc seismic RsIII.","INCADRAT IN MAI MULTE CATEGORII DE URGENTA/CLASE DE RISC","Incadrare in clasa de risc seismic RsIII spre RsII in anul 2013 (documentatie tehnico economica elaborata pentru cresterea eficientei energetice a constructiei)"
"840","Strada STIRBEI VODA","92","Sector 1","1936","S+P+4E","11","1999","Grigore ARSENIE","3.Clasa de risc seismic RsIII.",,
"841","Strada THOMAS MASARYK","9","Sector 2","1931","S+P+3E+Ma","19","2009","Corneliu NICUT","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2009"
